Date,JADR,Activity Type,Hours
2024-10-18,2586,development,2.0
2024-10-18,Unrecognized,eddie abs for development,1.5
2024-10-18,,Administrative,3.0
2024-10-18,2586,for administrative,3.0
2024-10-18,2586,for development,2.0
2024-10-18,2756,for development,2.0
2024-10-18,,Administrative,2.0
2024-10-18,,Administrative,1.5
2024-10-18,,Support,3.0
2024-10-18,2732,,3.2
2024-10-18,2586,for development,2.5
2024-10-18,Unrecognized,development,2.0
2024-10-18,2586,development,2.5
2024-10-18,,Support,3.5
2024-10-18,,project,4.0
